,id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
470,jXozFNdWnKR2qS0wCRxr,sábado,14:42:47.561000,"14:43:15,303","14:43:25,838","14:43:34,707",Tarjeta,
308,TYG9sIAfLzCfRWhGCI6I,sábado,13:27:50.417000,"13:29:39,058","13:29:47,269","13:29:49,117",Tarjeta,
475,k5hxF9ugue43wkAiSMZx,sábado,13:47:14.195000,"13:53:57,226","13:54:10,221","13:54:23,077",efectivo,
476,kYHwksMXe0TqwWJmaGbf,sábado,12:55:18.445000,"12:55:21,246","12:55:56,857","12:56:30,218",bono,
477,kdSo6ZhvjzWRL0GfghgG,sábado,13:35:23.176000,"13:35:44,995","13:36:48,623","13:36:58,432",efectivo,Le cajera explicó toda la carta
302,T5PBOAmEd1pAye9bWoJT,sábado,13:24:40.045000,"13:24:44,848","13:24:55,260","13:25:04,948",Tarjeta,
455,hWcUr9rDRzLWm6IfTxpg,sábado,12:58:51.594000,"13:00:21,780","13:01:04,057","13:02:56,523",efectivo,La cajera se demoró porque estaba apoyando en cocina
480,kiM9k4WK4UYWqht7yTfZ,sábado,12:27:17.693000,"12:28:47,763","12:29:26,936","12:31:00,601",Tarjeta,
300,SrL0ITHq98LzxDM7r9Kj,sábado,13:16:12.597000,"13:16:46,036","13:17:36,221","13:17:41,042",efectivo,
298,ShOTr7gQHgHvWUJMarpG,sábado,14:09:19.183000,"14:10:57,494","14:11:33,527","14:11:51,758",Tarjeta,
297,SenlQppFcHMmKXb3piOE,sábado,12:03:04.360000,"12:04:02,753","12:04:16,912","12:04:49,798",Tarjeta,
296,SasjimhVmfcsKhuaOlj9,sábado,14:46:39.198000,"14:48:56,790","14:49:07,092","14:49:34,187",Tarjeta,
293,SV0hKJV4QxOjUZGYgweC,sábado,14:09:57.301000,"14:11:55,758","14:12:05,587","14:12:23,955",Tarjeta,
319,UQgaEiqbxRpYFAxlYV3Y,sábado,13:38:23.137000,"13:38:37,815","13:38:46,498","13:38:52,576",efectivo,
468,j7Z3dCZhdxMXZf9NTC4j,sábado,12:56:59.212000,"12:59:09,789","12:59:23,688","12:59:55,067",Tarjeta,
321,VOqAK7PvvT0EFfPD7jvy,sábado,14:32:52.988000,"14:33:59,879","14:34:03,785","14:34:23,764",efectivo,
322,VTCmfwEUFVvmTtTPsyHD,sábado,12:14:13.640000,"12:14:27,281","12:14:53,048","12:15:07,925",efectivo,
209,JFcWpwUI8nAnG77c9nVH,sábado,14:32:46.400000,"14:33:11,308","14:33:27,207","14:33:44,171",efectivo,
324,VhfZS6zwSCVsINb419fJ,sábado,12:22:05.793000,"12:22:15,509","12:22:25,736","12:22:46,381",efectivo,
467,j5yjN0HZQqzNhQ0kOMpL,sábado,13:17:26.713000,"13:18:29,527","13:18:52,944","13:19:18,745",efectivo,
327,W8L0lvJk3Bi8wbNNnCMj,sábado,14:07:33.572000,"14:08:45,062","14:09:04,832","14:09:31,058",Tarjeta,
328,WAPOCh4pBvVUgiYY4k1w,sábado,14:39:26.631000,"14:39:34,282","14:40:12,251","14:40:35,975",efectivo,
